Detector Type, Descriptor Type, Average Matches, Average Match Percentage, Detector Time (ms), Descriptor Time (ms)
SHITOMASI,BRISK,76.7,65.0551,17.9321,28.2314
SHITOMASI,BRIEF,94.4,80.0679,18.4062,0.814026
SHITOMASI,ORB,90.7,76.9296,16.7238,3.80467
SHITOMASI,FREAK,76.6,64.9703,16.903,22.53

HARRIS,BRISK,14.2,57.2581,20.6052,35.7895
HARRIS,BRIEF,17.3,69.7581,22.7086,1.14462
HARRIS,ORB,16,64.5161,22.6463,5.22501
HARRIS,FREAK,14.6,58.871,19.5453,32.6021

FAST,BRISK,89.9,60.2951,1.73783,26.358
FAST,BRIEF,109.9,73.7089,1.95109,0.984174
FAST,ORB,108.1,72.5017,1.91508,4.55295
FAST,FREAK,88.1,59.0879,1.67604,23.8582

BRISK,BRISK,157,56.8429,58.0973,19.6111
BRISK,BRIEF,170.4,61.6944,66.911,0.577002
BRISK,ORB,151,54.6705,64.9261,5.74156
BRISK,FREAK,152.6,55.2498,75.4296,15.5361

ORB,BRISK,75.1,64.6856,138.514,35.3511
ORB,BRIEF,54.5,46.9423,23.2085,0.869984
ORB,ORB,76.1,65.5469,24.3835,19.1279
ORB,FREAK,42.1,36.2618,23.5107,34.6858

AKAZE,BRISK,121.5,72.7545,48.8676,18.4914
AKAZE,BRIEF,126.6,75.8084,50.047,0.499844
AKAZE,ORB,118.6,71.018,60.6343,4.57059
AKAZE,FREAK,118.8,71.1377,50.2619,15.686
AKAZE,AKAZE,125.9,75.3892,48.7585,27.3585

SIFT,BRISK,59.2,42.7128,68.6866,9.92294
SIFT,BRIEF,70.2,50.6494,77.0034,0.397569
SIFT,FREAK,59.6,43.0014,61.0163,15.0703
